State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Missouri,Andrew,2020,245,225,20,0,0,0,0,77,49,38,0,0,245,0,0
Missouri,Boone,2020,244,235,9,0,0,0,0,93,44,33,0,0,244,0,0
Missouri,Buchanan,2020,365,248,116,1,0,0,0,126,58,42,0,0,0,315,50
Missouri,Callaway,2020,245,234,11,0,0,0,0,87,45,35,0,0,245,0,0
Missouri,Cass,2020,362,300,60,2,0,0,0,105,54,39,0,0,171,191,0
Missouri,Cedar,2020,352,277,75,0,0,0,0,99,55,39,0,0,145,207,0
Missouri,Clay,2020,364,287,76,1,0,0,0,101,60,39,0,0,195,169,0
Missouri,Clinton,2020,245,226,19,0,0,0,0,87,48,37,0,0,245,0,0
Missouri,Greene,2020,364,268,95,1,0,0,0,116,57,40,0,0,124,234,6
Missouri,Jackson,2020,366,175,188,2,1,0,0,159,65,51,0,11,0,312,43
Missouri,Jasper,2020,366,320,46,0,0,0,0,82,52,35,0,0,212,0,154
Missouri,Jefferson,2020,365,250,113,2,0,0,0,141,59,43,0,0,119,238,8
Missouri,Lincoln,2020,245,228,16,1,0,0,0,108,48,37,0,0,245,0,0
Missouri,Monroe,2020,366,360,6,0,0,0,0,84,43,31,0,0,362,0,4
Missouri,Perry,2020,245,231,14,0,0,0,0,97,47,36,0,0,245,0,0
Missouri,Saint Charles,2020,245,216,25,4,0,0,0,112,54,39,0,0,245,0,0
Missouri,Saint Louis,2020,366,246,114,6,0,0,0,144,63,44,0,19,164,183,0
Missouri,Sainte Genevieve,2020,245,229,16,0,0,0,0,87,46,36,0,0,245,0,0
Missouri,St. Louis City,2020,366,137,224,4,1,0,0,156,70,54,0,6,64,269,27
Missouri,Stoddard,2020,63,54,9,0,0,0,0,66,54,26,0,0,0,63,0
Missouri,Taney,2020,122,113,9,0,0,0,0,62,48,22,0,0,0,122,0
Missouri,Andrew,2021,245,225,20,0,0,0,0,90,50,39,0,0,245,0,0
Missouri,Boone,2021,245,233,12,0,0,0,0,77,47,37,0,0,245,0,0
Missouri,Buchanan,2021,365,235,127,3,0,0,0,109,59,44,0,0,0,310,55
Missouri,Callaway,2021,245,229,16,0,0,0,0,80,47,39,0,0,245,0,0
Missouri,Cass,2021,365,267,97,1,0,0,0,108,59,42,0,0,156,209,0
Missouri,Cedar,2021,350,242,108,0,0,0,0,88,58,42,0,0,148,202,0
Missouri,Clay,2021,350,270,76,4,0,0,0,129,64,41,0,0,206,144,0
Missouri,Clinton,2021,245,221,24,0,0,0,0,97,50,38,0,0,245,0,0
Missouri,Greene,2021,365,300,65,0,0,0,0,84,55,38,0,0,188,135,42
Missouri,Jackson,2021,365,132,228,5,0,0,0,147,68,53,0,5,0,319,41
Missouri,Jasper,2021,360,298,62,0,0,0,0,93,58,38,0,0,218,0,142
Missouri,Jefferson,2021,365,244,116,4,1,0,0,164,62,44,0,0,145,210,10
Missouri,Lincoln,2021,244,225,19,0,0,0,0,93,49,39,0,0,244,0,0
Missouri,Monroe,2021,365,359,6,0,0,0,0,71,44,32,0,0,363,0,2
Missouri,Perry,2021,244,213,29,2,0,0,0,122,51,39,0,0,244,0,0
Missouri,Saint Charles,2021,245,209,34,2,0,0,0,119,54,41,0,0,245,0,0
Missouri,Saint Louis,2021,365,251,111,3,0,0,0,126,61,42,0,20,153,192,0
Missouri,Sainte Genevieve,2021,245,227,18,0,0,0,0,100,48,39,0,0,245,0,0
Missouri,St. Louis City,2021,365,114,244,6,1,0,0,187,71,55,0,1,50,305,9
